junction_name,cis_mean,violation_count,lat,lon,validated_pct,predicted_stress_next_h,historical_peak_stress,spillover_centrality,recency_score,quality_bonus,priority_score,rank,patrol_stop,officer_assigned,route_km
BTP075 - Police Corner,3.009568085106383,188,12.968845718276503,77.58628269328581,0.9414893617021277,0.0633,1.0,0.019985939244691393,0.9313267825548036,0.04707446808510639,0.6637,1,1.0,1.0,5.59
BTP053 - Three Let Junction,3.129101960784314,51,12.983894015686275,77.58177205098039,0.8431372549019608,0.3258,1.0,0.0034345009264042017,0.8469996701286499,0.04215686274509804,0.6548,2,2.0,2.0,11.72
BTP077 - Halasuru Gate Junction,2.7880366666666663,30,12.966806766666668,77.58703611,0.9333333333333333,0.3976,1.0,0.0034345009264042017,0.9457111726426694,0.04666666666666667,0.6452,3,2.0,1.0,5.59
BTP156 - Kamakya Junction,2.852130769230769,13,12.923719841795629,77.55360571975804,0.8461538461538461,0.2811,1.0,0.008836226725618622,0.9200711722428253,0.04230769230769231,0.634,4,4.0,3.0,9.46
BTP146 - Domlur Water Tank,2.5078047945205477,146,12.960488461643836,77.63886880273972,0.9726027397260274,0.4109,1.0,0.0034345009264042017,0.9768690210817781,0.04863013698630137,0.6088,5,5.0,2.0,11.72
BTP122 - Siddapura Junction,2.6993287671232875,146,12.948400291780821,77.59279610068494,0.8013698630136986,0.3829,1.0,0.0034345009264042017,0.9048171213226841,0.04006849315068493,0.6037,6,1.0,3.0,9.46
"BTP094 - Sri Skanda Complex, Mysore Road",2.5621982142857145,112,12.955815682142857,77.54617815178571,0.9553571428571429,0.3292,1.0,0.0034345009264042017,0.934135687082038,0.04776785714285715,0.5774,7,5.0,1.0,5.59
BTP154 - Itmadu Junction,2.308316666666667,12,12.929791199999999,77.54656500833333,0.8333333333333334,0.4431,1.0,0.0034345009264042017,0.9459710712821999,0.04166666666666667,0.5677,8,5.0,3.0,9.46
"BTP200 - 15th Cross, 33rd Main, JP Nagar",2.2014035714285716,28,12.9063283,77.58138778214285,0.8214285714285714,0.4756,1.0,0.0034345009264042017,0.9895040934035726,0.04107142857142857,0.5655,9,2.0,3.0,9.46
BTP157 - Kadirenahalli Cross,2.0871375,16,12.913022025,77.5670021,0.875,0.5098,1.0,0.0034345009264042017,0.9363548216195684,0.043750000000000004,0.5607,10,3.0,3.0,9.46
"BTP025 - Puttamma Choultry, Nagarbhavi",1.7654185185185185,27,12.978674192592594,77.53819774074074,0.9629629629629629,0.6218,1.0,0.0034345009264042017,0.9030578074550926,0.04814814814814815,0.5581,11,1.0,2.0,11.72
BTP064 - Devanga Hostel Junction,2.6611153846153845,104,12.962732790384617,77.58990461057692,0.9038461538461539,0.2542,1.0,0.0036996623403816294,0.9175121702536011,0.0451923076923077,0.5574,12,3.0,1.0,5.59
BTP212 - Minto Junction,2.4314846153846155,78,12.96031432051282,77.5714075602564,0.8974358974358975,0.2837,1.0,0.005640748438202277,0.9635242255520347,0.04487179487179488,0.5473,13,4.0,1.0,5.59
BTP035 - Basaweshwara Circle (LH) Junction,1.8941222222222223,36,12.984610472222222,77.58816219444445,0.8333333333333334,0.569,1.0,0.0034345009264042017,0.9041173942162557,0.04166666666666667,0.5435,14,3.0,2.0,11.72
BTP211 - Central Street Junction,2.8114840571640682,5388,12.983371022821446,77.60345435130863,0.9435783221974758,0.1248,1.0,0.0034345009264042017,0.9937724287527864,0.04717891610987379,0.5394,15,4.0,2.0,11.72
BTP133 - Adugodi Junction,2.1679575342465753,73,12.941853575342465,77.6086067250685,0.863013698630137,0.4225,1.0,0.0034345009264042017,0.9377642719339457,0.04315068493150685,0.5367,16,,,
"BTP170 - Dr. Bheem Rao Palace, Chord Road",2.3045429319371724,573,12.99037199306623,77.551225814101,0.9232111692844677,0.1303,1.0,0.015350321989570488,0.988434510540889,0.046160558464223386,0.5365,17,,,
BTP085 - Briyand Circle,2.450032530120482,166,12.966068878313253,77.56948985903615,0.8373493975903614,0.2899,1.0,0.0034345009264042017,0.9909735203270724,0.041867469879518074,0.5327,18,,,
BTP103 - Shanti Nagar TTMC,2.3692986111111107,144,12.9538741625,77.59162276111111,0.8611111111111112,0.2787,1.0,0.006117107070859711,0.947640420236108,0.04305555555555556,0.5318,19,,,
BTP030 - Mekhri Circle,2.4336367816091955,87,13.013624291954024,77.58397421839081,0.6781609195402298,0.3348,1.0,0.0034345009264042017,0.9803276722078389,0.03390804597701149,0.5293,20,,,
BTP181 - Bileka Halli Junction,1.7284875,8,12.9019944125,77.60112085,0.875,0.65,1.0,0.0034345009264042017,0.6476874019132539,0.043750000000000004,0.5277,21,,,
BTP104 - Medical College Circle,2.6428358090185675,1508,12.959562748076925,77.57661357181698,0.8607427055702918,0.147,1.0,0.005899573329490523,0.9900038984795929,0.04303713527851459,0.527,22,,,
"BTP221 - 15th Cross, 24th Main, JP Nagar",2.3865767241379308,116,12.905022600862068,77.58618874568965,0.9224137931034483,0.2642,1.0,0.004685836752314343,0.9353552114675276,0.046120689655172416,0.5241,23,,,
BTP079 - Town Hall Junction,2.55585987654321,162,12.964742432716049,77.58478980123456,0.9567901234567902,0.1904,1.0,0.005079040974174765,0.8621737522366277,0.04783950617283951,0.5224,24,,,
BTP048 - Shanthala Junction,2.765568361581921,1593,12.976960576691845,77.57075523407478,0.8650345260514752,0.1159,1.0,0.004010654658763131,0.9878247483481443,0.04325172630257376,0.522,25,,,
BTP121 - KH Circle,2.052329906542056,107,12.951853676635514,77.5903747271028,0.9065420560747663,0.3779,1.0,0.004861869791098974,0.9630244204760143,0.04532710280373832,0.5153,26,,,
BTP173 - TMC,2.500594736842105,152,12.98232968486842,77.59871615789473,0.9210526315789473,0.1215,1.0,0.008000546664833052,0.9773588300562781,0.04605263157894737,0.5122,27,,,
BTP171 - Indian Express (Balekundri),2.1058324561403508,114,12.986301935964912,77.59864174824561,0.8421052631578947,0.3809,1.0,0.0034345009264042017,0.9895640700126951,0.042105263157894736,0.5107,28,,,
BTP143 - ASC Junction,2.2981708333333333,24,12.9694987,77.6197457625,0.625,0.3732,1.0,0.0034345009264042017,0.9309369345955077,0.03125,0.5104,29,,,
"BTP178 - 18th Main, Marenahalli",1.8405,7,12.91689827142857,77.58956701428572,1.0,0.4934,1.0,0.0034345009264042017,0.7764271933945761,0.05,0.5085,30,,,
"BTP015 - Suguna Hospital, Dr. Rajkumar Road",2.1069106796116506,103,12.98771043883495,77.55949917572815,0.8543689320388349,0.3763,1.0,0.003918090699134503,0.9332160457421605,0.04271844660194175,0.5083,31,,,
BTP018 - Dhobi Ghat Junction,1.8732986910994764,382,12.98761222696335,77.54981949005236,0.9345549738219895,0.0521,1.0,0.02654278411906732,0.9606753366187187,0.046727748691099476,0.5077,32,,,
BTP078 - NR Square Junction,2.4169,244,12.965873413934425,77.5854067954918,0.8114754098360656,0.091,1.0,0.012317672006315871,0.9746099021381661,0.04057377049180328,0.5031,33,,,
"BTP026 - 1st Block Junction, Rajajinagar",2.2371961325966847,1086,13.002439084069982,77.55009351215469,0.8802946593001841,0.2855,1.0,0.0034345009264042017,0.9769190015893802,0.04401473296500921,0.4967,34,,,
BTP144 - Commando Hospital Junction,1.6666333333333334,6,12.969203566666666,77.62634385,1.0,0.6175,1.0,0.0034345009264042017,0.4125890902548006,0.05,0.494,35,,,
