grid_id,lat,lon,total_viol,avg_cis,max_cis,weeks_active,months_active,peak_hour,top_vehicle,near_junction,police_station,persistence,hotspot_score,hotspot_rank,tier
12.981_77.61,12.981,77.61,4411,3.3927159600997507,6.6667,23,6,10,PASSENGER AUTO,1,Shivajinagar,0.9583,0.81,1,Critical
12.964_77.577,12.964,77.577,3745,1.7802395193591456,6.6667,23,6,0,SCOOTER,1,City Market,0.9583,0.6875,2,Critical
12.977_77.57600000000001,12.977,77.57600000000001,3182,1.6593109050911377,6.6667,23,6,9,SCOOTER,1,Upparpet,0.9583,0.6318,3,Critical
13.071_77.58800000000001,13.071,77.58800000000001,3280,0.4851472865853659,2.0,23,6,11,SCOOTER,0,Kodigehalli,0.9583,0.5954,4,Critical
12.934000000000001_77.691,12.934000000000001,77.691,3343,0.51179638049656,3.75,21,6,4,SCOOTER,0,HAL Old Airport,0.875,0.5772,5,Critical
12.984_77.604,12.984,77.604,1630,3.249816687116564,6.6667,23,6,10,PASSENGER AUTO,1,Shivajinagar,0.9583,0.5523,6,Critical
12.984_77.60300000000001,12.984,77.60300000000001,1649,3.1815946027895694,6.6667,23,6,10,PASSENGER AUTO,1,Shivajinagar,0.9583,0.5513,7,Critical
12.973_77.57900000000001,12.973,77.57900000000001,2366,1.5073707945900254,6.6667,22,6,10,SCOOTER,1,Upparpet,0.9167,0.5394,8,Critical
12.977_77.577,12.977,77.577,1907,2.110937912952281,6.6667,23,6,8,CAR,1,Upparpet,0.9583,0.5335,9,Critical
12.982000000000001_77.608,12.982000000000001,77.608,1408,2.640662002840909,10.0,23,6,10,PASSENGER AUTO,1,Shivajinagar,0.9583,0.5086,10,Critical
13.035_77.589,13.035,77.589,2284,0.5528413747810857,2.5,23,6,3,SCOOTER,0,Hebbala,0.9583,0.5077,11,Critical
12.976_77.577,12.976,77.577,1795,1.5554367688022284,6.0,23,6,9,SCOOTER,1,Upparpet,0.9583,0.5019,12,Critical
13.184000000000001_77.68,13.184000000000001,77.68,1926,1.182216303219107,5.0,23,6,1,CAR,0,Chikkajala,0.9583,0.4994,13,Critical
12.977_77.58,12.977,77.58,1257,2.645680986475736,6.6667,23,6,9,CAR,1,Upparpet,0.9583,0.4951,14,Critical
12.965_77.57600000000001,12.965,77.57600000000001,1933,1.3037033109156753,6.6667,22,6,9,SCOOTER,1,City Market,0.9167,0.4923,15,Critical
12.933_77.691,12.933,77.691,2375,0.5298410526315789,3.75,21,6,4,SCOOTER,0,HAL Old Airport,0.875,0.4901,16,Critical
12.981_77.609,12.981,77.609,1074,2.674239944134078,6.6667,23,6,8,CAR,1,Shivajinagar,0.9583,0.4796,17,Critical
12.97_77.57600000000001,12.97,77.57600000000001,1591,1.6320449402891264,6.6667,22,6,9,SCOOTER,1,City Market,0.9167,0.4739,18,Critical
12.98_77.607,12.98,77.607,1350,1.8483984444444443,6.6667,23,6,10,SCOOTER,1,Shivajinagar,0.9583,0.4729,19,Critical
12.974_77.545,12.974,77.545,1766,1.1724203850509627,5.0,22,6,4,SCOOTER,1,Vijayanagara,0.9167,0.4721,20,Critical
12.982000000000001_77.61,12.982000000000001,77.61,1142,2.303916112084063,6.6667,23,6,10,SCOOTER,1,Shivajinagar,0.9583,0.4716,21,Critical
12.975_77.57600000000001,12.975,77.57600000000001,1277,1.932479404855129,6.6667,23,6,9,SCOOTER,1,Upparpet,0.9583,0.4695,22,Critical
12.977_77.571,12.977,77.571,1004,2.8950446215139443,5.6667,22,6,7,PASSENGER AUTO,1,Chamarajpet,0.9167,0.4693,23,Critical
12.965_77.584,12.965,77.584,1215,1.733857777777778,6.6667,24,6,10,SCOOTER,1,Halasuru Gate,1.0,0.4687,24,Critical
12.968_77.575,12.968,77.575,831,3.0674960288808664,6.6667,22,6,11,PASSENGER AUTO,1,Chamarajpet,0.9167,0.4603,25,Critical
12.974_77.578,12.974,77.578,894,2.550319463087248,6.6667,23,6,10,CAR,1,Upparpet,0.9583,0.4585,26,Critical
12.98_77.575,12.98,77.575,1033,2.1198667957405615,6.6667,23,6,9,PASSENGER AUTO,1,Upparpet,0.9583,0.4546,27,Critical
12.976_77.57600000000001,12.976,77.57600000000001,1174,1.779954514480409,6.6667,23,6,6,SCOOTER,1,Upparpet,0.9583,0.4543,28,Critical
12.979000000000001_77.575,12.979000000000001,77.575,939,2.31691256656017,6.6667,23,6,9,CAR,1,Upparpet,0.9583,0.4536,29,Critical
12.978_77.574,12.978,77.574,1167,2.0144260497000857,6.6667,22,6,5,CAR,1,Upparpet,0.9167,0.4502,30,Critical
12.974_77.57900000000001,12.974,77.57900000000001,1078,1.855328478664193,6.6667,23,6,9,SCOOTER,1,Upparpet,0.9583,0.4485,31,Critical
13.0_77.55,13.0,77.55,1327,1.583536021100226,6.6667,22,6,8,SCOOTER,1,Malleshwaram,0.9167,0.4481,32,Critical
12.978_77.575,12.978,77.575,1034,1.8312200193423598,6.6667,23,6,10,SCOOTER,1,Upparpet,0.9583,0.4435,33,Critical
12.981_77.608,12.981,77.608,1074,1.729873929236499,6.6667,23,6,11,SCOOTER,1,Shivajinagar,0.9583,0.4433,34,Critical
12.981_77.611,12.981,77.611,585,2.873320341880342,6.0,23,6,10,PASSENGER AUTO,1,Shivajinagar,0.9583,0.443,35,Critical
12.977_77.57900000000001,12.977,77.57900000000001,956,1.9027202928870293,6.6667,23,6,1,CAR,1,Upparpet,0.9583,0.4392,36,Critical
12.964_77.578,12.964,77.578,980,2.0932801020408163,6.6667,22,6,9,SCOOTER,1,City Market,0.9167,0.4363,37,Critical
12.959_77.57600000000001,12.959,77.57600000000001,473,2.957843128964059,6.6667,23,6,13,LGV,1,City Market,0.9583,0.4361,38,Critical
12.976_77.578,12.976,77.578,1207,1.544646561723281,6.6667,22,6,9,SCOOTER,1,Upparpet,0.9167,0.4357,39,Critical
13.008000000000001_77.69500000000001,13.008000000000001,77.69500000000001,1429,0.686088033589923,3.5417,23,6,0,SCOOTER,0,K.R. Pura,0.9583,0.4353,40,Critical
12.974_77.551,12.974,77.551,1107,1.3058831074977415,6.6667,23,6,11,SCOOTER,1,Magadi Road,0.9583,0.4299,41,Critical
12.964_77.584,12.964,77.584,931,1.6876295381310418,6.6667,23,6,10,SCOOTER,1,Halasuru Gate,0.9583,0.4287,42,Critical
12.973_77.551,12.973,77.551,1105,1.2253459728506788,5.0,23,6,12,SCOOTER,1,Magadi Road,0.9583,0.4266,43,Critical
12.979000000000001_77.57900000000001,12.979000000000001,77.57900000000001,952,1.8894681722689075,6.6667,22,6,1,CAR,1,Upparpet,0.9167,0.4259,44,Critical
12.979000000000001_77.578,12.979000000000001,77.578,873,1.7266725085910652,6.6667,23,6,1,CAR,1,Upparpet,0.9583,0.4249,45,Critical
12.982000000000001_77.606,12.982000000000001,77.606,1117,1.3961998209489705,5.6667,22,6,10,SCOOTER,1,Shivajinagar,0.9167,0.4218,46,Critical
13.008000000000001_77.555,13.008000000000001,77.555,749,1.8831088117489987,6.0,23,6,10,CAR,1,Malleshwaram,0.9583,0.4197,47,Critical
12.999_77.55,12.999,77.55,909,1.7480183718371836,5.0,22,6,7,SCOOTER,1,Rajajinagar,0.9167,0.4165,48,Critical
12.965_77.539,12.965,77.539,1402,1.2365572039942938,6.6667,20,6,11,SCOOTER,1,Vijayanagara,0.8333,0.4165,49,Critical
12.964_77.57600000000001,12.964,77.57600000000001,635,2.0540040944881888,6.6667,23,6,1,SCOOTER,1,City Market,0.9583,0.4159,50,Critical
12.977_77.578,12.977,77.578,711,2.106084247538678,6.6667,22,6,9,CAR,1,Upparpet,0.9167,0.4124,51,Critical
12.959_77.577,12.959,77.577,432,2.427021990740741,6.6667,23,6,4,CAR,1,City Market,0.9583,0.4119,52,Critical
12.983_77.611,12.983,77.611,1123,0.7963414959928763,2.5,23,6,10,SCOOTER,0,Shivajinagar,0.9583,0.4118,53,Critical
12.964_77.57900000000001,12.964,77.57900000000001,583,2.311122813036021,6.6667,22,6,1,CAR,1,City Market,0.9167,0.4086,54,Critical
